id;symbol;name;path
01coin;zoc;01coin;./data/coins/01coin/
0-5x-long-algorand-token;algohalf;0.5X Long Algorand Token;./data/coins/0-5x-long-algorand-token/
0-5x-long-altcoin-index-token;althalf;0.5X Long Altcoin Index Token;./data/coins/0-5x-long-altcoin-index-token/
0-5x-long-balancer-token;balhalf;0.5X Long Balancer Token;./data/coins/0-5x-long-balancer-token/
0-5x-long-bilibra-token;trybhalf;0.5X Long BiLira Token;./data/coins/0-5x-long-bilibra-token/
0-5x-long-bitcoin-cash-token;bchhalf;0.5X Long Bitcoin Cash Token;./data/coins/0-5x-long-bitcoin-cash-token/
0-5x-long-bitcoin-sv-token;bsvhalf;0.5X Long Bitcoin SV Token;./data/coins/0-5x-long-bitcoin-sv-token/
0-5x-long-bitcoin-token;half;0.5X Long Bitcoin Token;./data/coins/0-5x-long-bitcoin-token/
0-5x-long-bitmax-token-token;btmxhalf;0.5X Long BitMax Token Token;./data/coins/0-5x-long-bitmax-token-token/
0-5x-long-bnb-token;bnbhalf;0.5X Long BNB Token;./data/coins/0-5x-long-bnb-token/
0-5x-long-cardano-token;adahalf;0.5X Long Cardano Token;./data/coins/0-5x-long-cardano-token/
0-5x-long-chainlink-token;linkhalf;0.5X Long Chainlink Token;./data/coins/0-5x-long-chainlink-token/
0-5x-long-compound-usdt-token;cusdthalf;0.5X Long Compound USDT Token;./data/coins/0-5x-long-compound-usdt-token/
0-5x-long-cosmos-token;atomhalf;0.5X Long Cosmos Token;./data/coins/0-5x-long-cosmos-token/
0-5x-long-defi-index-token;defihalf;0.5X Long DeFi Index Token;./data/coins/0-5x-long-defi-index-token/
0-5x-long-dogecoin-token;dogehalf;0.5X Long Dogecoin Token;./data/coins/0-5x-long-dogecoin-token/
0-5x-long-dragon-index-token;drgnhalf;0.5X Long Dragon Index Token;./data/coins/0-5x-long-dragon-index-token/
0-5x-long-echange-token-index-token;exchhalf;0.5X Long Exchange Token Index Token;./data/coins/0-5x-long-echange-token-index-token/
0-5x-long-eos-token;eoshalf;0.5X Long EOS Token;./data/coins/0-5x-long-eos-token/
0-5x-long-ethereum-classic-token;etchalf;0.5X Long Ethereum Classic Token;./data/coins/0-5x-long-ethereum-classic-token/
0-5x-long-ethereum-token;ethhalf;0.5X Long Ethereum Token;./data/coins/0-5x-long-ethereum-token/
0-5x-long-huobi-token-token;hthalf;0.5X Long Huobi Token Token;./data/coins/0-5x-long-huobi-token-token/
0-5x-long-kyber-network-token;knchalf;0.5X Long Kyber Network Token;./data/coins/0-5x-long-kyber-network-token/
0-5x-long-leo-token;leohalf;0.5X Long LEO Token;./data/coins/0-5x-long-leo-token/
0-5x-long-litecoin-token;ltchalf;0.5X Long Litecoin Token;./data/coins/0-5x-long-litecoin-token/
0-5x-long-matic-token;matichalf;0.5X Long Matic Token;./data/coins/0-5x-long-matic-token/
0-5x-long-midcap-index-token;midhalf;0.5X Long Midcap Index Token;./data/coins/0-5x-long-midcap-index-token/
0-5x-long-okb-token;OKBHALF;0.5X Long OKB Token;./data/coins/0-5x-long-okb-token/
0-5x-long-pax-gold-token;PAXGHALF;0.5X Long PAX Gold Token;./data/coins/0-5x-long-pax-gold-token/
0-5x-long-privacy-index-token;privhalf;0.5X Long Privacy Index Token;./data/coins/0-5x-long-privacy-index-token/
0-5x-long-shitcoin-index-token;halfshit;0.5X Long Shitcoin Index Token;./data/coins/0-5x-long-shitcoin-index-token/
0-5x-long-swipe-token;sxphalf;0.5X Long Swipe Token;./data/coins/0-5x-long-swipe-token/
0-5x-long-tether-gold-token;xauthalf;0.5X Long Tether Gold Token;./data/coins/0-5x-long-tether-gold-token/
0-5x-long-tether-token;usdthalf;0.5X Long Tether Token;./data/coins/0-5x-long-tether-token/
0-5x-long-tezos-token;xtzhalf;0.5X Long Tezos Token;./data/coins/0-5x-long-tezos-token/
0-5x-long-theta-network-token;thetahalf;0.5X Long Theta Network Token;./data/coins/0-5x-long-theta-network-token/
0-5x-long-tomochain-token;tomohalf;0.5X Long TomoChain Token;./data/coins/0-5x-long-tomochain-token/
0-5x-long-trx-token;trxhalf;0.5X Long TRX Token;./data/coins/0-5x-long-trx-token/
0-5x-long-xrp-token;xrphalf;0.5X Long XRP Token;./data/coins/0-5x-long-xrp-token/
0cash;zch;0cash;./data/coins/0cash/
0chain;zcn;0chain;./data/coins/0chain/
0x;zrx;0x;./data/coins/0x/
0xcert;zxc;0xcert;./data/coins/0xcert/
0xkojo;0xk;0xKOJO;./data/coins/0xkojo/
0xmonero;0xmr;0xMonero;./data/coins/0xmonero/
100-waves-eth-btc-set;100wratio;100 Waves ETH/BTC Set;./data/coins/100-waves-eth-btc-set/
100-waves-ethusd-ether-hoard-set;100weth;100 Waves ETH/USD Ether Hoard Set;./data/coins/100-waves-ethusd-ether-hoard-set/
100-waves-eth-usd-yield-set;100w;100 Waves ETH/USD Yield Set;./data/coins/100-waves-eth-usd-yield-set/
12h-ichimoku-ha-ema-breakout-set;ichiema;12H Ichimoku HA EMA Breakout Set;./data/coins/12h-ichimoku-ha-ema-breakout-set/
12ships;TSHP;12Ships;./data/coins/12ships/
1337;1337;Elite;./data/coins/1337/
15634-liberal-st-detroit-mi-48205;REALTOKEN-15634-LIBERAL-ST-DETROIT-MI;RealToken 15634 Liberal St Detroit MI;./data/coins/15634-liberal-st-detroit-mi-48205/
18900-mansfield-st-detroit-mi-48235;REALTOKEN-18900-MANSFIELD-ST-DETROIT-MI;RealToken 18900 Mansfield St Detroit MI;./data/coins/18900-mansfield-st-detroit-mi-48235/
1ai;1ai;1AI;./data/coins/1ai/
1clicktoken;1ct;1ClickToken;./data/coins/1clicktoken/
1irstgold;1gold;1irstGold;./data/coins/1irstgold/
1million-token;1mt;1Million Token;./data/coins/1million-token/
1world;1wo;1World;./data/coins/1world/
1x2-coin;1x2;1X2 Coin;./data/coins/1x2-coin/
1x-long-btc-implied-volatility-token;bvol;Bitcoin Volatility Token;./data/coins/1x-long-btc-implied-volatility-token/
1x-short-algorand-token;algohedge;1X Short Algorand Token;./data/coins/1x-short-algorand-token/
1x-short-bitcoin-cash-token;bchhedge;1X Short Bitcoin Cash Token;./data/coins/1x-short-bitcoin-cash-token/
1x-short-bitcoin-token;hedge;1X Short Bitcoin Token;./data/coins/1x-short-bitcoin-token/
1x-short-bitmax-token-token;btmxhedge;1X Short BitMax Token Token;./data/coins/1x-short-bitmax-token-token/
1x-short-bnb-token;bnbhedge;1X Short BNB Token;./data/coins/1x-short-bnb-token/
1x-short-btc-implied-volatility;ibvol;Inverse Bitcoin Volatility Token;./data/coins/1x-short-btc-implied-volatility/
1x-short-cardano-token;adahedge;1X Short Cardano Token;./data/coins/1x-short-cardano-token/
1x-short-chainlink-token;LINKHEDGE;1X Short Chainlink Token;./data/coins/1x-short-chainlink-token/
1x-short-compound-token-token;comphedge;1X Short Compound Token Token;./data/coins/1x-short-compound-token-token/
1x-short-compound-usdt-token;cusdthedge;1X Short Compound USDT Token;./data/coins/1x-short-compound-usdt-token/
1x-short-cosmos-token;atomhedge;1X Short Cosmos Token;./data/coins/1x-short-cosmos-token/
1x-short-defi-index-token;defihedge;1X Short DeFi Index Token;./data/coins/1x-short-defi-index-token/
1x-short-dogecoin-token;dogehedge;1X Short Dogecoin Token;./data/coins/1x-short-dogecoin-token/
1x-short-eos-token;eoshedge;1X Short EOS Token;./data/coins/1x-short-eos-token/
1x-short-ethereum-classic-token;etchedge;1X Short Ethereum Classic Token;./data/coins/1x-short-ethereum-classic-token/
1x-short-ethereum-token;ethhedge;1X Short Ethereum Token;./data/coins/1x-short-ethereum-token/
1x-short-exchange-token-index-token;exchhedge;1X Short Exchange Token Index Token;./data/coins/1x-short-exchange-token-index-token/
1x-short-huobi-token-token;hthedge;1X Short Huobi Token Token;./data/coins/1x-short-huobi-token-token/
1x-short-kyber-network-token;knchedge;1X Short Kyber Network Token;./data/coins/1x-short-kyber-network-token/
1x-short-leo-token;leohedge;1X Short LEO Token;./data/coins/1x-short-leo-token/
1x-short-litecoin-token;ltchedge;1X Short Litecoin Token;./data/coins/1x-short-litecoin-token/
1x-short-matic-token;matichedge;1X Short Matic Token;./data/coins/1x-short-matic-token/
1x-short-okb-token;okbhedge;1X Short OKB Token;./data/coins/1x-short-okb-token/
1x-short-privacy-index-token;privhedge;1X Short Privacy Index Token;./data/coins/1x-short-privacy-index-token/
1x-short-shitcoin-index-token;hedgeshit;1X Short Shitcoin Index Token;./data/coins/1x-short-shitcoin-index-token/
1x-short-swipe-token;sxphedge;1X Short Swipe Token;./data/coins/1x-short-swipe-token/
1x-short-tether-gold-token;xauthedge;1X Short Tether Gold Token;./data/coins/1x-short-tether-gold-token/
1x-short-tezos-token;xtzhedge;1X Short Tezos Token;./data/coins/1x-short-tezos-token/
1x-short-theta-network-token;thetahedge;1X Short Theta Network Token;./data/coins/1x-short-theta-network-token/
1x-short-tomochain-token;tomohedge;1X Short TomoChain Token;./data/coins/1x-short-tomochain-token/
1x-short-trx-token;trxhedge;1X Short TRX Token;./data/coins/1x-short-trx-token/
1x-short-vechain-token;vethedge;1X Short VeChain Token;./data/coins/1x-short-vechain-token/
1x-short-xrp-token;xrphedge;1X Short XRP Token;./data/coins/1x-short-xrp-token/
2-2-4-4-8;2248;2+2=4+4=8;./data/coins/2-2-4-4-8/
2acoin;arms;2ACoin;./data/coins/2acoin/
2give;2give;2GIVE;./data/coins/2give/
